"Contract No","Title","DAC Code","Organisation","Organisation Nationality","Country or Region","Action location","Amount in Euro","EC financing","Total cost in Euro","Duration","Duration Unit","Year"
145569,"Promotion du secteur élévage dans la région de Mopti-Mali",43040,"ASSOCIAZIONE COMUNITA IMPEGNO SERVIZIO VOLONTARIATO","Italy","Mali","L'action s'adresse à 25 organisations paysannes d'éleveurs membres de l'AOPP évoluant dans 5 cercles de la région de Mopti pour un total d'environ 1 400 éleveurs dont 600 femmes. La zone d'intervention du projet est au Mali, dans la région de Mopti, cercles de Djenné, Douentza, Bandiagara, Bankass et Koro)",372525,75,496700,36,"M",2007
130518,"Enhancing Asylum Conditions and International Protection in the Republic of Belarus",15162,"RESPUBLIKA BELARUS","Belarus","Belarus","Republic of Belarus",500000,80,625000,24,"M",2007
137365,"Internationalising the Operation of Spas in the Philippines Thailand Malaysia and Indonesia",11430,"SPA ASSOCIATION OF THE PHILIPPINESINCORPORATION","Philippines","Asia","the Philippines, Thailand, Malaysia, India",578197,56.79,1018197,24,"M",2007
145931,"Youth Empowement in Sudan(YES)",52010,"VOLONTARIATO INTERNAZIONALE PER LOSVILUPPO ASSOCIAZIONE","Italy","Sudan","Four IDP camps of Khartoum State and in the squatter area of Kalaka, Gubba (Khartoum). ",625044,68.31,914994,42,"M",2007
135871,"To Act You Have to Know",99820,"CLOVEK V TISNI OPS","Czech Republic","EU Europe ","Czech Republic, Poland, Hungary, Slovak Republic

Direct target groups : decision makers, opinion makers (media and NGDOs), future decision makers and opinion makers (University students)
Indirect target groups : wider public, Southern representatives, MFAs

",931500,85,1095881,36,"M",2007
145957,"Programme d'appui à la consolidation du processus démocratique en RD Congo",15162,"ORGANISATION PAIX UNITE RECONCILIATION RECONSTRUCTION ASBL","Congo (Democratic Republic of the)","Congo (Democratic Republic of the)","Ville de Kinshasa, Ville de Kindu(maniema)",72009,88.55,81319.19,12,"M",2007
139108,"Promotion of human rights defenders and international mechanisms of HR protection in Trebinje municipality",15162,"SOLIDARNOST ZA JUG UG","Bosnia and Herzegovina","Bosnia and Herzegovina","Municipality Trebinje-RS, BiH

Target groups: 70 decision makers& local officials which will receive new knowledge¿s about international mechanisms of human rights protection, 30 local officials at round tables, at least 90 persons from young population, participants at 6x2 day workshops, 40 members of local amateur theatre ¿Slovo¿, 360 citizens participants at public tribunes, at least 2500 citizens who signed the petition",51000,89.36,57075,12,"M",2007
146262,"ELE - EU EOM Pakistan 2007/2008",15161,"INTERNATIONAL ORGANIZATION FOR MIGRATION","Switzerland","Pakistan","civil society all over Pakistan",5667001,100,5667001,24,"M",2007
134700,"Poverty reduction through support of disavantaged people",12191,"STICHTING HEALTHNET INTERNATIONAL TRANSCULTURAL PSYCHOSOCIAL ORGANIZATION","Netherlands (The)","Eritrea","Asmara, Eritrea",674920,75,899894,36,"M",2007
146304,"Training of law enforcement on implementing new standards of humane treatment of victims of sexual trafficking in the Russian Federation ",15162,"ANO PROTIVODEISTVIYA TORGOVLE LYUDMI KOALICIYA ANGEL","Russia ","Russia ","Moscow, Petrozavodsk, Yaroslavl, Nizhny Novgorod, Chelyabinsk
Target groups: MVD Department of Criminal Investigation, federal and regional branches; the Investigative Committee, federal and regional branches; the Organized Crime Division and its regional branches; NGOs working with regional police officers and federal prosecutors.  ",99900,90,111000,14,"M",2007
134730,"Projet d¿appui à la décentralisation éducative dans le Département du Centre, en Haïti
",11110,"AIDE ET ACTION ASSOCIATION","France","Haiti","Département du Centre",737700,37.34,1975723,36,"M",2007
145380,"Development of Human and Social Capital Amongst IDPs in Khartoum State.",52010,"FELLOWSHIP FOR AFRICAN RELIEF INTERNATIONAL FAR","Canada","Sudan","Greater Dar El Salaam, Omdurman, Sudan ",869265,85,1022665,24,"M",2007
146020,"Enhancement of Asycuda Risk Management ",33110,"UNITED NATIONS CONFERENCE ON TRADEAND DEVELOPMENT","Switzerland","Philippines","the Philippines",396986,100,396986,9,"M",2007
134940,"Renforcer les droits de l'enfant et réduire la pauvreté infantile en Haïti: un modèle exemplaire de coopération transversale entre partenaires en milieux rural et urbain 
",15162,"KINDERNOTHILFE EV","Germany","Haiti","Port-au-Prince",719403,75,959205,40,"M",2007
140049,"Empower Women Participation in the Democratic Process with Emphasis on ''Free of Expression and Stop Honour Killings''",15162,"ASSOCIATION OF SOCIETY VOICE FOR SOCIAL AND DEVELOPING WORK","West Bank and Gaza Strip","West Bank and Gaza Strip","Rafah, Khan Younis, Middle Area, Gaza City, Jabalia, Beit Lahia and Beit Hanoun

",85882,79,108712,18,"M",2007
139058,"Combating causes and effects of acid violence",15162,"ACID SURVIVORS FOUNDATION","Bangladesh","Bangladesh","Dhaka and Comilla district of Bangladesh",84228.57,88.16,95540.63,24,"M",2007
146382,"Raising awareness among Jordanian youth regarding their rights to participate in the political life",15162,"PARTNERS - JORDAN CENTER FOR CIVICCOLLABORATION LLC","Jordan","Jordan","Target Group : Youth and politicians running from elections.

Place of activities : Jordan ",100000,83.22,120160,14,"M",2007
128294,"Increasing the capacity of selected industries in Vietnam, Cambodia and Lao PDR to develop environmentally friendly and socially responsible products",32130,"VIEN KHOA HOC VA CONG NGHE MOI TRURONG","Vietnam","Asia","Vietnam (Hanoi, Ho Chi Minh City, Pilot company-projects locations to determined), Cambodia (Phnom Penh) and Lao PDR (Vientiane)",378441.43,75,504588.57,20,"M",2007
127474,"Enabling the refugees of the Gaza Strip to access comprehensive, integrated and reliable reproductive and sexual health care services.",13020,"ASSOCIAZIONE ITALIANA DONNE PER LOSVILUPPO","Italy","Mediterranean Region","Gaza Strip (El Bureij refugee camp and Jabalia refugee camp)",1389159.2,90,1543510.22,48,"M",2007
139749,"Programme for development of human rights culture in Sialkot",15162,"BAIDARIE","Pakistan","Pakistan","Human Rights focussed CSOs of Sialkot, Punjab (Pakistan)",100000,89.92,111212,24,"M",2007
134105,"Advancing Healthy Communities through responsive local Governance
",12220,"OXFAM GB LBG","United Kingdom","Azerbaijan","The project takes place in various isolated rural areas in Azerbaijan and targets the citizens of the villages there, aiming to develop community based health care to augment the often inadequate state health care facilities. ",750000,63.06,1189310,48,"M",2007
134609,"Intervention pour l¿amélioration de la qualité de vie et de la capacité de développement des ménages vulnérables, à travers  l¿amélioration du système de l¿éducation primaire",11220,"FONDAZIONE AVSI","Italy","Burundi","Burundi",749500,63.89,1173046.35,36,"M",2007
135303,"Models for Scaling Up Integrated and Linked SRH and HIV Responses with Key Vulnerable Communities in Punjab, Pakistan. 
",16064,"INTERACT WORLDWIDE LBG","United Kingdom","Pakistan","Districts of  Kasur and Multan in Punjab, Pakistan. Target Groups include Key Vulnerable Communities of female sex workers and their clients, transgenders, men having sex with men and their female partners, people living with HIV/AIDs, and staff members of the partner NGOs.",748621,75,998161,48,"M",2007
134196,"Quality Primary Education for Children from Extreme Poor Households on Remote River Islands in North-West Bangladesh 
",11220,"NETZ PARTNERSCHAFT FUR ENTWICKLUNGUND GERECHTIGKEIT EV","Germany","Bangladesh","Rangpur district, Gaibandha district and Dhaka district of Bangladesh",749970,75,999993.6,60,"M",2007
144224," Improvement of Quality of Life through Access to Education and basic health services for children with hearing imparment in rural areas in 13 provinces of PNG",12261,"VEREIN LICHT FUR DIE WELT - CHRISTOFFEL ENTWICKLUNGSZUSAMMENARBEIT","Austria","Papua New Guinea","Wewak, MAprik, Aitape, Baro, Madang, Mendi, Margarima, Mt. Hagen, Banz, Minj, Mingende, Goroka, Kiunga, Daru, Port Moresby, Alotau, Rabaul, Buka, Arawa and Lorengau",749900,62.62,1197459.01,36,"M",2007
134544,"Renforcement de l¿éducation scientifique, technologique et citoyenne à l¿Ecole Primaire Fondamentale de Madagascar
",11240,"DEVELOPPER FORMER INFORMER ASSOCIATION","France","Madagascar","Antananarivo, Mahajanga, Toamasina, Toliara, Fianarantsoa, Antsirabe, Benasandratra, Arivonimamo, Manjakandriana, Ambanja, Sambava, Mananjary, Ambositra, Antsohihy, Mandritsara, Maevatanana, Moramanga, Belemboka, Diego Suarez
Niveau local : Ambatondrazaka, Avaradrano, Soalazaina
",335000,73.35,456694,36,"M",2007
135447,"¿Más poder para la gente¿ - Participación ciudadana y fomento productivo para la reducción de la pobreza en cuatro comunas rurales de Chile
",43040,"EVANGELISCHE ZENTRALSTELLE FUR ENTWICKLUNGSHILFE  E.V.","Germany","Chile","Región del bio Bio(Viii) comunas de Negrete, santa bárbara y Alto bío-Bio, región de la araucanía (IX) Comuna de Lonquimay. serán beneficiarios 400 líderes y dirigentes de apox 200 organizaciones sociales; 320 micro, pequeños y medianos empresarios y 13.700 personas involucradas en el mecanismo de participación ciudadana",749000,66.41,1127780,48,"M",2007
130391,"Women Migration from Morocco to EU: a Warp Yarn for the Development.",15162,"SOLETERRE-STRATEGIE DI PACE ONLUS","Italy","Morocco","Morocco",561975.74,79.97,702733.2,36,"M",2007
138097,"Elections for all",15162,"THE INTELLECTUAL WOMEN ASSOCIATIONKARTLIS DEDA","Georgia","Georgia","Target Group: Ethnic minorities communities in Shida kartli region of Georgia
Action location: Georgia, Shida Kartli region",63576,90,70640,18,"M",2007
134193,"INCOME STABILITY IN NORTHERN AFGHANISTAN: Increasing the income potential in Balkh province through training, knowledge-sharing, and joint business strategies
",43040,"CLOVEK V TISNI OPS","Czech Republic","Afghanistan","Afghanistan , Bakh Province, Shortepa,Zari,Kaldar districts.",666171,75,888228,36,"M",2007
135445,"Empowering Women through Land Rights
",15150,"ACTIONAID CO LTD","United Kingdom","Zimbabwe","Makoni, Wedza, Chinhoyi, Gweru, Bubi, Gwanda, Makoni, Gwanda",750000,74.53,1006364,48,"M",2007
135156,"Improve the provision of primary health care in Yemen, in the governorate of Hajjah 
",12220,"ASSOCIATION MEDECINS DU MONDE","France","Yemen","Beni Khays district, Governorate of Hajjah",420000,71.54,587097,24,"M",2007
129824,"Migration Profiles in Selected Countries in West and Central Africa: A tool for Strategic Policy Development",15162,"INTERNATIONAL ORGANIZATION FOR MIGRATION","Switzerland","All Countries","West and Central Africa",1600000,80,2000000,24,"M",2007
145069,"Additional Contribution to the ESSP Phase II  TF 070598",16010,"THE WORLD BANK GROUP","United States","West Bank and Gaza Strip","West Bank and Gaza Strip",5000000,100,5000000,12,"M",2007
133803,"Export Trade from Kenya ¿ Enabling the poor to share the fruits. 
",31191,"AFRICA NOW LBG","United Kingdom","Kenya","Rift Valley and Central Kenya",408000,74.86,545000,36,"M",2007
134813,"Gender Based Violence-''Making the invisible Visible''
",92010,"SKILLSHARE INTERNATIONAL LIMITED BY GUARANTEE","United Kingdom","Botswana","Target groups: survivors and victims of gender based violance; service providers (primarily the three partner org. Emang Basadi, WoMan Against Rape, Bana ba Letsatsi) and policy makers, other community based org., policy and judiciary systems in Botswana, North and South region, Gaborone and Maun.",530336,75,707153.51,36,"M",2007
145103,"Eau jaillissant du carrousel dans le Mbam et Inoubou-Cameroun",14030,"INCONTRO FRA I POPOLI ONLUS","Italy","Cameroon","Bafia, Cameroun.",562500,75,750000,36,"M",2007
145117,"Seguridad alimentaria y gobernabilidad local por el manejo agro-forestal participativo en 2 territorios indígenas de la Reserva de la Biosfera de Bosawas en Waspam",43040,"AGENCE D'AIDE A LA COOPERATION TECHNIQUE ET AU DEVELOPPEMENT","France","All Countries","Municipio Waspam",628318,75,837758,24,"M",2007
133769,"Salud Intercultural en San Lorenzo
",12181,"TERRA NUOVA CENTRO PER IL VOLONTARIATO ONLUS","Italy","Peru","República de Perú, región Loreto, San Lorenzo y las provincias de Datem del Marañon y Alto Amazonas",737836,75,983841,48,"M",2007
137892,"Improved goat production and market participation for food security and sustainable livelihoods in Zimbabwe",52010,"ORGANISATION OF RURAL ASSOCIATIONSFOR PROGRESS","Zimbabwe","Zimbabwe","Semi-arid goat producing districts of: 
Tsholotsho, Lupane, Nkayi (Matabeleland North Province)
Gwanda, Beitbridge (Matabeleland South Province)
Chivi (Masvingo Province) of Zimbabwe
",1900000,83.67,2270888,36,"M",2007
135181,"Projet pour les droits fondamentaux des enfants les plus en souffrance dans 4 districts de la région Boeny
",15162,"ENFANTS DU MONDE-DROITS DE L'HOMME","France","Madagascar","Région Boeny, au Nord Ouest de Madagascar (voir carte en annexe) : districts de Mahajanga I, Mahajanga II, Ambato Boeny et Mitsinjo",740213,75,986950,48,"M",2007
140622,"Democratization of electoral process through the network of Trade Union leaders activists members",15162,"KYRGYZSKAJA ASSOCIACIJA OBRAZOVANIJA VZROSLYH","Kyrgyzstan","Kyrgyzstan","Country(ies): 	Kyrgyzstzn
region(s): 	Chui, Issyk-Kul, Naryn, Talas
town(s): 	Bishkek, Tokmok, Karabalta, Belovodskoe, Naryn, Talas, Karkol, Balykchy,         Cholpona-Ata
",35764,90,39738,9,"M",2007
133467,"Re-orienting the vocational education system in Andhra Pradesh to create sustainable market oriented employment opportunities for marginalized youth",11330,"AIDE ET ACTION ASSOCIATION","France","India","Andhra Pradesh State (23 districts)",750000,63.69,1177652.86,48,"M",2007
134365,"Projet sécurité alimentaire, eau et hygiène pour Ten-Tiètaa  
",52010,"DEUTSCHE WELTHUNGERHILFE EV","Germany","Burkina Faso","Région du Sud Ouest - Province du loba ¿ communes de Dissin (Baagane, Benvar, Bouletew, Dadounè, Dakolé, Dissin, Done, Gora, Korgnègane, Mou, Saala, Tansebla, Tansien, Tanpouor, Kpopèri) et de Ouessa (Ouessa, Kolinka, Bekoteg, Djanlé, Langlé) 20 villages",643542.75,75,858057,36,"M",2007
140871,"Concept for  human rights protection  mechanisms  in Local community  Skopje and Prilep  Centre for Civic Initiatives",92030,"CENTAR ZA GRAGJANSKA INICIJATIVA ASSOCIATION","Macedonia (Former Yugoslav Republic of)","Macedonia (Former Yugoslav Republic of)","The project  helps in  inclusion on the venerable groups in the local policy creation on local level and establishment of protection mechanisms in South west part of the country including  municipalities Prilep, Krivogastani and Krushevo) and the city of Skopje ( municipalities of Gazi Baba, Butel and Cair). The main target gropu are the representatives of the Commissions for gender issues and/or equal opportunities and human rights oriented NGOs 

",34900,88.13,39600,10,"M",2007
144541,"INSTITUCIONALIZACIÓN Y SOSTENIBILIDAD DE LA EDUCACIÒN EN RIESGO DE MINAS Y LA ATENCIÓN BIOPSICOSOCIAL A VÍCTIMAS DE MAP Y MUSE, A TRAVÉS DE EDUCADORES Y PERSONAL DE SALUD EN MUNICIPIOS PRIORITARIOS DEL DEPARTAMENTO DE ANTIOQUIA",15220,"REPUBLICA DE COLOMBIA","Colombia","Colombia","YARUMAL (ANTIOQUIA), SONSON (ANTIOQUIA), URRAO (ANTIOQUIA), YOLOMBO (ANTIOQUIA), SAN ROQUE (ANTIOQUIA), CAUCASIA (ANTIOQUIA), SANTA ROSA DE OSOS (ANTIOQUIA), ARGELIA (ANTIOQUIA), ITUANGO (ANTIOQUIA), MUTATA (ANTIOQUIA), EL BAGRE (ANTIOQUIA), NARINO (ANTIOQUIA), DABEIBA (ANTIOQUIA), CANASGORDAS (ANTIOQUIA), CAMPAMENTO (ANTIOQUIA), ANORI (ANTIOQUIA), MONTEBELLO (ANTIOQUIA), SANTUARIO (ANTIOQUIA), APARTADO (ANTIOQUIA), NECHI (ANTIOQUIA), MURINDO (ANTIOQUIA), GOMEZ PLATA (ANTIOQUIA), YONDO (ANTIOQUIA), LA UNION (ANTIOQUIA), CISNEROS (ANTIOQUIA), CHIGORODO (ANTIOQUIA), ALEJANDRIA (ANTIOQUIA), SEGOVIA (ANTIOQUIA), VALDIVIA (ANTIOQUIA), SAN ANDRES (ANTIOQUIA), CARMEN DE VIBORAL (ANTIOQUIA), GUATAPE (ANTIOQUIA), CARACOLI (ANTIOQUIA), TAMESIS (ANTIOQUIA), PUERTO TRIUNFO (ANTIOQUIA), YALI (ANTIOQUIA), CACERES (ANTIOQUIA), AMALFI (ANTIOQUIA), GUADALUPE (ANTIOQUIA), VEGACHI (ANTIOQUIA), NECOCLI (ANTIOQUIA), SANTO DOMINGO (ANTIOQUIA), ANTIOQUIA (ANTIOQUIA), PEQUE (ANTIOQUIA), JARDIN (ANTIOQUIA), CAICEDO (ANTIOQUIA)",525000,60.1,873542,36,"M",2007
